Gene_name	nSites	nLocations	Tot	cdsAlt	utr5Altx	utr3Altx
CNAG_00349	2	2	29	TRUE	FALSE	FALSE
CNAG_00351	1	1	3093	FALSE	FALSE	FALSE
CNAG_00352	3	2	299	TRUE	FALSE	FALSE
CNAG_00353	3	2	64	TRUE	FALSE	FALSE
CNAG_00354	1	1	2839	FALSE	FALSE	FALSE
CNAG_00355	1	1	15674	FALSE	FALSE	FALSE
CNAG_00356	3	2	1224	TRUE	FALSE	FALSE
CNAG_00357	1	1	957	FALSE	FALSE	FALSE
CNAG_00358	3	2	1459	TRUE	FALSE	FALSE
CNAG_00359	7	2	70	TRUE	TRUE	FALSE
CNAG_00360	2	2	2703	TRUE	FALSE	FALSE
CNAG_00361	2	2	2562	TRUE	FALSE	FALSE
CNAG_00362	1	1	9787	FALSE	FALSE	FALSE
CNAG_00363	5	2	2580	TRUE	TRUE	FALSE
CNAG_00364	1	1	672	FALSE	FALSE	FALSE
CNAG_00365	2	2	716	TRUE	FALSE	FALSE
CNAG_00366	4	1	21	TRUE	FALSE	FALSE
CNAG_00367	1	1	809	FALSE	FALSE	FALSE
CNAG_00368	1	1	4008	FALSE	FALSE	FALSE
CNAG_00369	2	2	655	TRUE	FALSE	FALSE
CNAG_00370	2	2	25042	TRUE	FALSE	FALSE
CNAG_00371	1	1	272	FALSE	FALSE	FALSE
CNAG_00372	1	1	13397	TRUE	FALSE	FALSE
CNAG_00373	2	1	1372	FALSE	TRUE	FALSE
CNAG_00374	1	1	1615	FALSE	FALSE	FALSE
CNAG_00375	2	2	886	TRUE	FALSE	FALSE
CNAG_00376	1	1	345	TRUE	FALSE	FALSE
CNAG_00377	6	4	2352	TRUE	FALSE	FALSE
CNAG_00378	4	2	255	TRUE	FALSE	FALSE
CNAG_00383	2	2	1092	TRUE	FALSE	FALSE
CNAG_00384	2	2	325	TRUE	FALSE	FALSE
CNAG_00385	2	2	6503	TRUE	FALSE	FALSE
CNAG_00386	1	1	1858	FALSE	FALSE	FALSE
CNAG_00387	2	2	415	TRUE	FALSE	FALSE
CNAG_00388	4	2	438	TRUE	FALSE	FALSE
CNAG_00389	1	1	779	FALSE	FALSE	FALSE
CNAG_00390	2	2	1247	TRUE	FALSE	FALSE
CNAG_00391	1	1	414	FALSE	FALSE	FALSE
